                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                 2.9172,                 1.2903,                0.76016,                0.52744,                0.54414,                0.41117,                0.85669,                 1.8323,                 1.1162,               0.003322,               0.003322,               0.003322
                      2,                0.96342,                 1.7259,                 1.1348,                0.73596,                0.80776,                0.86199,                0.62217,                0.88786,                 1.1341,                 1.1266,              0.0066333,              0.0066333,              0.0066333
                      3,                0.95553,                 1.3721,                   1.15,                0.70254,                0.60343,                0.72653,                0.49741,                 1.1051,                 1.8489,                 1.3748,              0.0099227,              0.0099227,              0.0099227
                      4,                0.95615,                 1.1445,                 1.1756,                0.76038,                0.81548,                0.84275,                 0.5911,                0.92529,                0.96148,                 1.1772,               0.009901,               0.009901,               0.009901
                      5,                0.91805,                0.95989,                 1.1604,                0.88102,                0.81215,                0.90316,                0.63203,                0.92541,                  1.029,                 1.2293,               0.009901,               0.009901,               0.009901
                      6,                0.88657,                0.87452,                 1.1448,                0.90352,                0.86529,                0.91844,                0.69268,                0.83717,                0.67061,                 1.1245,               0.009868,               0.009868,               0.009868
                      7,                0.85651,                0.81522,                 1.1301,                0.92841,                0.94318,                0.94939,                0.73149,                 0.7463,                0.55901,                 1.0757,               0.009835,               0.009835,               0.009835
                      8,                0.85657,                0.77927,                 1.1335,                 0.9036,                0.93134,                0.94553,                0.72241,                0.73962,                0.55306,                 1.1093,               0.009802,               0.009802,               0.009802
                      9,                0.82554,                0.74549,                 1.1158,                0.82111,                0.87076,                0.86758,                0.64697,                0.82894,                0.84687,                 1.1384,               0.009769,               0.009769,               0.009769
                     10,                0.82793,                0.73518,                 1.1181,                0.90604,                0.92666,                0.94996,                0.73254,                0.74284,                0.56117,                 1.1024,               0.009736,               0.009736,               0.009736
                     11,                0.80627,                0.68425,                 1.1092,                0.90555,                0.87775,                0.93127,                0.69815,                0.80192,                0.60705,                 1.1788,               0.009703,               0.009703,               0.009703
                     12,                0.79316,                0.67744,                 1.1038,                0.91397,                0.94185,                0.96688,                0.75387,                0.73011,                0.50244,                 1.0817,                0.00967,                0.00967,                0.00967
                     13,                0.78255,                0.65799,                 1.0988,                0.93678,                0.93822,                0.95187,                0.75047,                 0.7088,                0.52446,                 1.0697,               0.009637,               0.009637,               0.009637
                     14,                0.77917,                0.63243,                 1.0935,                0.93493,                0.93731,                0.96533,                0.76944,                0.69392,                 0.4547,                 1.0845,               0.009604,               0.009604,               0.009604
                     15,                0.77355,                0.65438,                 1.0969,                 0.9468,                0.93502,                0.96223,                0.75531,                 0.7082,                0.46516,                 1.0507,               0.009571,               0.009571,               0.009571
                     16,                0.75916,                0.61466,                 1.0828,                0.93851,                0.91819,                 0.9645,                 0.7526,                0.69474,                0.48749,                 1.0457,               0.009538,               0.009538,               0.009538
                     17,                0.75638,                 0.6168,                 1.0837,                0.92081,                0.94509,                0.95948,                0.76083,                0.68019,                0.46587,                 1.0458,               0.009505,               0.009505,               0.009505
                     18,                0.75363,                0.59811,                 1.0847,                0.93976,                0.92865,                0.96255,                0.76411,                0.68787,                 0.4689,                  1.052,               0.009472,               0.009472,               0.009472
                     19,                0.74189,                0.59118,                  1.072,                0.95048,                0.94181,                0.97417,                0.77665,                0.66713,                0.43437,                 1.0773,               0.009439,               0.009439,               0.009439
                     20,                0.73115,                0.57498,                 1.0694,                 0.9356,                0.94589,                0.96951,                0.77028,                0.66762,                  0.438,                 1.0729,               0.009406,               0.009406,               0.009406
                     21,                0.73095,                0.57057,                 1.0715,                0.90796,                0.94399,                 0.9615,                0.75269,                0.68636,                0.45919,                 1.0438,               0.009373,               0.009373,               0.009373
                     22,                0.72134,                0.56928,                 1.0674,                0.92423,                0.92241,                0.96829,                0.77283,                 0.6615,                0.44975,                 1.0662,                0.00934,                0.00934,                0.00934
                     23,                0.71623,                0.56209,                 1.0643,                0.92241,                0.95319,                0.96546,                0.78369,                 0.6736,                0.43461,                 1.0417,               0.009307,               0.009307,               0.009307
                     24,                0.72659,                0.55224,                 1.0706,                 0.9392,                0.93804,                0.96801,                0.77249,                0.68067,                0.45306,                 1.0498,               0.009274,               0.009274,               0.009274
                     25,                0.72413,                0.56312,                 1.0637,                 0.9439,                0.96623,                0.98078,                0.79475,                0.66702,                0.42147,                 1.0874,               0.009241,               0.009241,               0.009241
                     26,                0.70873,                0.54591,                   1.06,                0.91632,                0.96031,                0.96423,                0.78097,                0.65849,                0.42677,                 1.0598,               0.009208,               0.009208,               0.009208
                     27,                0.70919,                0.55279,                 1.0627,                0.93132,                0.94994,                0.97857,                0.79943,                0.67104,                0.41653,                 1.0533,               0.009175,               0.009175,               0.009175
                     28,                0.70567,                0.53592,                  1.056,                0.96285,                0.93769,                0.97758,                0.80942,                0.64214,                0.39033,                 1.0319,               0.009142,               0.009142,               0.009142
                     29,                0.70345,                0.52983,                 1.0529,                0.92917,                0.95079,                0.97416,                0.79879,                 0.6423,                 0.4079,                 1.0197,               0.009109,               0.009109,               0.009109
                     30,                0.70043,                0.52431,                 1.0518,                  0.954,                0.95547,                0.97729,                0.80728,                0.64798,                0.41295,                 1.0609,               0.009076,               0.009076,               0.009076
                     31,                0.69016,                0.52163,                 1.0482,                0.94449,                0.95918,                0.97399,                0.79242,                0.65106,                0.39901,                 1.0404,               0.009043,               0.009043,               0.009043
                     32,                0.69638,                0.52541,                  1.057,                0.95956,                0.95927,                0.97786,                0.80542,                0.64498,                0.40505,                 1.1105,                0.00901,                0.00901,                0.00901
                     33,                0.69524,                0.51906,                  1.053,                0.95136,                0.94855,                0.97491,                0.80646,                0.63906,                0.38126,                0.97968,               0.008977,               0.008977,               0.008977
                     34,                0.69174,                0.51707,                 1.0537,                0.95741,                0.95428,                0.97728,                0.80312,                0.63225,                0.40318,                 1.0149,               0.008944,               0.008944,               0.008944
                     35,                0.68458,                0.50364,                  1.045,                0.94921,                0.95781,                 0.9729,                0.81125,                0.63854,                0.40231,                 1.0341,               0.008911,               0.008911,               0.008911
                     36,                 0.6844,                0.49439,                 1.0485,                0.97068,                0.95606,                0.98459,                0.81366,                0.63802,                0.38042,                 1.1065,               0.008878,               0.008878,               0.008878
                     37,                0.67771,                0.49149,                 1.0411,                0.95453,                0.96571,                0.98055,                0.81083,                0.65308,                0.39607,                 1.0397,               0.008845,               0.008845,               0.008845
                     38,                0.68002,                0.49754,                 1.0433,                0.95799,                0.94613,                0.97688,                0.81792,                0.62961,                0.37545,                 1.0314,               0.008812,               0.008812,               0.008812
                     39,                0.68072,                0.50169,                 1.0506,                0.95972,                0.96258,                0.97298,                0.80553,                0.63317,                0.38048,                 1.0421,               0.008779,               0.008779,               0.008779
                     40,                0.67372,                 0.4992,                 1.0472,                0.96281,                0.94946,                0.98325,                0.82319,                 0.6187,                0.38283,                 1.0712,               0.008746,               0.008746,               0.008746
                     41,                0.66774,                0.48559,                 1.0349,                0.94264,                0.95442,                0.97811,                0.81703,                0.62362,                0.36951,                 1.0166,               0.008713,               0.008713,               0.008713
                     42,                  0.663,                 0.4771,                 1.0324,                0.94884,                0.95048,                0.98013,                0.81851,                0.61961,                0.36172,                 0.9778,                0.00868,                0.00868,                0.00868
                     43,                0.66607,                 0.4818,                 1.0358,                0.96353,                0.95691,                0.97752,                0.80558,                0.62781,                0.37331,                 1.0394,               0.008647,               0.008647,               0.008647
                     44,                0.66325,                0.47859,                 1.0384,                0.96475,                0.94985,                0.98233,                0.83127,                0.62476,                0.35221,                0.97963,               0.008614,               0.008614,               0.008614
                     45,                 0.6536,                0.47765,                 1.0294,                0.93952,                0.96565,                0.98418,                0.82322,                0.62813,                 0.3684,                  1.033,               0.008581,               0.008581,               0.008581
                     46,                0.64912,                0.45795,                 1.0323,                0.95183,                0.95162,                0.98141,                0.82059,                0.62135,                0.36849,                 1.0495,               0.008548,               0.008548,               0.008548
                     47,                0.65183,                0.47092,                 1.0284,                0.95556,                0.96712,                0.98396,                0.83002,                0.61136,                 0.3565,                0.98931,               0.008515,               0.008515,               0.008515
                     48,                 0.6485,                0.46162,                 1.0309,                0.94806,                0.97404,                0.97499,                 0.8064,                0.62358,                0.37555,                 1.0271,               0.008482,               0.008482,               0.008482
                     49,                0.64767,                0.46525,                 1.0223,                0.96597,                0.95767,                0.97408,                0.80493,                0.62286,                0.35526,                 1.0191,               0.008449,               0.008449,               0.008449
                     50,                0.64808,                0.46641,                 1.0287,                0.95062,                0.95174,                0.97246,                0.80856,                0.61932,                0.35899,                 1.0291,               0.008416,               0.008416,               0.008416
                     51,                0.64387,                0.46005,                 1.0261,                0.94409,                0.96996,                0.97362,                0.82654,                0.60293,                0.35446,                 1.0239,               0.008383,               0.008383,               0.008383
                     52,                0.64477,                0.45013,                 1.0268,                0.96061,                 0.9461,                 0.9755,                0.83116,                0.59701,                0.35775,                 1.0122,                0.00835,                0.00835,                0.00835
                     53,                 0.6439,                 0.4627,                 1.0246,                0.97085,                0.95741,                0.97945,                0.81271,                0.60986,                0.34952,                0.99172,               0.008317,               0.008317,               0.008317
                     54,                 0.6352,                0.45531,                 1.0209,                0.93451,                0.96604,                0.97647,                0.82384,                0.59993,                0.33875,                0.97884,               0.008284,               0.008284,               0.008284
                     55,                0.63169,                0.43575,                 1.0238,                0.96239,                0.96521,                0.98351,                0.82829,                0.60853,                0.33749,                 1.0364,               0.008251,               0.008251,               0.008251
                     56,                0.62795,                0.44888,                  1.021,                0.96233,                0.96126,                 0.9802,                0.83492,                0.60029,                0.34313,                 1.0324,               0.008218,               0.008218,               0.008218
                     57,                0.63536,                0.44733,                 1.0202,                0.94546,                0.95395,                0.97313,                0.83085,                0.59234,                0.34876,                 1.0461,               0.008185,               0.008185,               0.008185
                     58,                0.62995,                0.44253,                 1.0189,                0.96295,                0.95663,                0.97697,                0.82494,                0.60044,                0.33967,                 1.0392,               0.008152,               0.008152,               0.008152
                     59,                0.62748,                0.44028,                   1.02,                 0.9562,                 0.9612,                 0.9776,                 0.8336,                0.59252,                0.32614,                 1.0053,               0.008119,               0.008119,               0.008119
                     60,                0.63761,                0.44758,                 1.0184,                0.94784,                0.96609,                0.97891,                0.82042,                0.61612,                0.34738,                0.99587,               0.008086,               0.008086,               0.008086
                     61,                0.62263,                0.42958,                 1.0135,                0.96153,                0.95189,                0.97853,                0.83491,                 0.5947,                0.32917,                 1.0157,               0.008053,               0.008053,               0.008053
                     62,                0.62423,                 0.4369,                 1.0177,                0.96364,                0.95159,                0.97731,                0.83154,                0.59568,                0.33194,                0.98877,                0.00802,                0.00802,                0.00802
                     63,                0.62395,                0.43134,                 1.0144,                0.95814,                0.95781,                0.98346,                0.83506,                0.59817,                0.33028,                  1.003,               0.007987,               0.007987,               0.007987
                     64,                0.62837,                0.43953,                 1.0145,                0.96847,                0.95987,                0.98078,                0.82438,                0.61594,                0.34775,                 1.0103,               0.007954,               0.007954,               0.007954
                     65,                0.62411,                0.43794,                 1.0214,                0.96267,                0.95748,                0.97947,                0.82383,                0.59474,                0.32165,                0.99372,               0.007921,               0.007921,               0.007921
                     66,                0.62792,                0.43379,                 1.0285,                 0.9563,                0.96611,                0.98594,                0.82862,                0.59613,                0.32573,                 1.0007,               0.007888,               0.007888,               0.007888
                     67,                0.61244,                0.43124,                 1.0127,                0.96028,                0.95491,                0.98339,                0.84211,                 0.5842,                0.33324,                0.98786,               0.007855,               0.007855,               0.007855
                     68,                0.62183,                0.43604,                 1.0074,                0.97372,                0.94952,                0.98308,                0.83376,                0.59169,                0.32822,                0.99969,               0.007822,               0.007822,               0.007822
