                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98426,                 2.1397,                 1.2078,                0.81711,                0.79136,                0.87542,                0.65194,                0.77202,                 1.0428,                 1.1113,              0.0033289,              0.0033289,              0.0033289
                      2,                0.84209,                 1.0957,                 1.0969,                0.91008,                0.88483,                0.94045,                0.73355,                0.72551,                0.72712,                 1.0869,              0.0066402,              0.0066402,              0.0066402
                      3,                0.86341,                  0.863,                 1.1045,                0.84699,                0.85198,                0.90964,                0.66339,                0.84629,                0.67529,                 1.1848,              0.0099296,              0.0099296,              0.0099296
                      4,                 0.8556,                0.73697,                 1.0997,                0.87135,                0.91038,                0.94358,                0.72558,                0.72962,                0.52598,                 1.0886,               0.009901,               0.009901,               0.009901
                      5,                0.81657,                0.65046,                 1.0792,                0.80077,                 0.8249,                0.87623,                0.66996,                 0.7401,                0.57115,                 1.1056,               0.009901,               0.009901,               0.009901
                      6,                0.79375,                0.60784,                 1.0687,                0.95421,                0.92679,                 0.9666,                0.76665,                0.68337,                0.40839,                 1.0598,               0.009868,               0.009868,               0.009868
                      7,                 0.7686,                0.57508,                 1.0557,                0.93396,                0.90107,                0.96013,                0.76212,                0.69369,                0.44312,                 1.0699,               0.009835,               0.009835,               0.009835
                      8,                0.75664,                0.55243,                 1.0514,                0.94557,                0.93346,                0.96517,                0.77063,                0.67443,                0.40394,                 1.0595,               0.009802,               0.009802,               0.009802
                      9,                0.74275,                0.53264,                  1.044,                0.94826,                0.93845,                0.95708,                0.78035,                0.65387,                0.38442,                 1.0442,               0.009769,               0.009769,               0.009769
                     10,                 0.7274,                0.51999,                 1.0355,                0.95053,                0.94362,                0.97606,                0.80273,                0.65315,                0.36741,                 1.0445,               0.009736,               0.009736,               0.009736
                     11,                0.71979,                0.50496,                 1.0338,                0.92284,                0.95165,                0.96496,                0.78401,                0.65148,                0.37376,                 1.0409,               0.009703,               0.009703,               0.009703
                     12,                0.71116,                0.49551,                 1.0305,                0.95453,                0.94675,                 0.9773,                0.81308,                 0.6324,                0.35125,                  1.027,                0.00967,                0.00967,                0.00967
                     13,                0.70278,                0.48763,                 1.0232,                0.95126,                0.93405,                0.96867,                0.80042,                0.65041,                0.36951,                 1.0381,               0.009637,               0.009637,               0.009637
